연번,호선,역번호,역명,2022년1월,2022년2월,2022년3월,2022년4월,2022년5월
106,4,421,동대문(4),920567,788844,952852,1054234,1160456
107,4,422,동대문역사문화공원(4),727796,612891,706333,755831,849990
108,4,423,충무로(4),1215766,1045630,1304232,1448121,1556695
109,4,424,명동,954231,764449,929123,1102552,1270961
110,4,425,회현,1207856,973497,1154494,1337780,1500203
111,4,426,서울역(4),682330,556660,613056,740762,875094
112,4,427,숙대입구,623927,540558,676707,740210,825683
113,4,428,삼각지(4),265642,223185,254226,294027,349119
114,4,429,신용산,846688,691859,762603,861537,1025158
115,4,430,이촌,414174,349671,374340,450517,594334
116,4,431,동작,102337,95701,115680,145251,149627
117,4,432,이수(총신대입구),1008915,852627,969783,1080582,1186501
118,4,433,사당(4),1191499,1006178,1144174,1342144,1510679
119,4,434,남태령,57010,48173,55608,65609,76093
120,5,2511,방화,333948,284596,323756,357144,391485
121,5,2512,개화산,277592,242456,274196,299269,322899
122,5,2513,김포공항(5),431096,375905,375706,426963,486946
123,5,2514,송정,330923,286998,321309,351565,378883
124,5,2515,마곡,523355,444548,498679,540689,586377
125,5,2516,발산,1021778,873867,1000074,1099395,1205626
126,5,2517,우장산,717887,609417,705945,779387,848463
127,5,2518,화곡,1396317,1204261,1362536,1484663,1600168
128,5,2519,까치산(5),1459690,1260705,1413556,1531237,1648636
129,5,2520,신정,634409,549093,617558,674944,724611
130,5,2521,목동,874245,743986,832842,917674,998657
131,5,2522,오목교,1161480,980582,1075840,1191521,1305528
132,5,2523,양평(5),370515,310979,349014,383067,402221
133,5,2524,영등포구청(5),203752,174193,198468,218986,234410
134,5,2525,영등포시장,530188,456067,505690,564432,607056
135,5,2526,신길(5),215330,185539,208291,230668,244323
136,5,2527,여의도(5),1381727,1144306,1279363,1505346,1560412
137,5,2528,여의나루,477326,409303,561503,1169864,1104607
138,5,2529,마포,705981,593761,664170,747394,794693
139,5,2530,공덕(5),682329,566251,643595,737872,797389
140,5,2531,애오개,331123,282548,318477,352217,374077
141,5,2532,충정로(5),223255,188462,216103,240974,251614
142,5,2533,서대문,879238,730356,846492,960747,1055575
143,5,2534,광화문,1435962,1176100,1354326,1538082,1771165
144,5,2535,종로3가(5),669725,552128,617660,724423,839188
145,5,2536,을지로4가(5),293649,243387,283032,318201,343519
146,5,2537,동대문역사문화공원(5),152460,122669,138389,148589,160143
147,5,2538,청구(5),191743,166681,188239,203662,219444
148,5,2539,신금호,321646,278634,320014,353518,381949
149,5,2540,행당,389692,330989,371034,409244,444482
150,5,2541,왕십리(5),259275,220215,247955,274346,297492
151,5,2542,마장,291209,233279,276766,302240,328602
152,5,2543,답십리,808690,688399,776837,833868,895612
153,5,2544,장한평,932950,800787,894944,971955,1034396
154,5,2545,군자(5),611267,521477,592815,645881,702228
155,5,2546,아차산,756879,652631,771249,882823,947072
156,5,2547,광나루,645707,552468,634530,720840,797813
157,5,2548,천호(5),971071,822072,914660,1013745,1129281
158,5,2549,강동,925764,797918,902495,983501,1052331
159,5,2550,길동,429837,364599,410060,438033,474910
160,5,2551,굽은다리,483667,410022,459259,501125,558113
161,5,2552,명일,448104,380452,432249,481541,527278
162,5,2553,고덕,470425,398898,463798,509639,562134
163,5,2554,상일동,745122,618095,692432,763840,833107
164,5,2555,둔촌동,445882,378856,426513,455719,483796
165,5,2556,올림픽공원(5),198778,166036,197307,233860,275787
166,5,2557,방이,377841,318146,355501,387573,420370
167,5,2558,오금(5),180575,152540,180762,199082,214007
168,5,2559,개롱,327002,281557,317865,349983,380877
169,5,2560,거여,451759,395194,478399,531185,584144
170,5,2561,마천,349586,303123,350549,385368,421377
171,5,2562,강일,197649,170312,196357,222731,253843
172,5,2563,미사,829751,698389,790519,887935,971471
173,5,2564,하남풍산,215558,181680,209308,229695,247367
174,5,2565,하남시청,333964,287921,335408,376036,419618
175,5,2566,하남검단산,301684,258131,291424,330875,372652
176,6,2611,응암,897592,773335,870741,965621,1021034
177,6,2612,역촌,212353,187223,205462,215437,233231
178,6,2613,불광(6),222702,192989,216003,242220,264444
179,6,2614,독바위,145804,124840,142538,156417,167434
180,6,2616,구산,336592,292627,333919,362465,387755
181,6,2617,새절,619858,533149,616770,690957,735190
182,6,2618,증산,517534,445282,504059,555615,593450
183,6,2619,디지털미디어시티(6),694281,586304,670261,746365,830650
184,6,2620,월드컵경기장,218251,193418,297204,289987,373402
185,6,2621,마포구청,690680,597168,669852,714125,777594
186,6,2622,망원,801989,669513,740971,820983,890379
187,6,2623,합정(6),691455,585890,663407,743776,826377
188,6,2624,상수,483235,412394,487164,533434,603467
